Year,Team,Player,Age,Pos,G
2008,Philadelphia Phillies,Chase Utley,29,2B,159
2008,Philadelphia Phillies,Ryan Howard,28,1B,162
2008,Philadelphia Phillies,Pat Burrell,31,LF,157
2008,Philadelphia Phillies,Shane Victorino,27,CF,146
2008,Philadelphia Phillies,Jimmy Rollins,29,SS,137
2008,Philadelphia Phillies,Jayson Werth,29,RF,134
2008,Philadelphia Phillies,Pedro Feliz,33,3B,133
2008,Philadelphia Phillies,Carlos Ruiz,29,C,117
2024,Baltimore Orioles,Adley Rutschman,26,C,148
2024,Baltimore Orioles,Ryan Mountcastle,27,1B,124
2024,Baltimore Orioles,Jackson Holliday,20,2B,60
2024,Baltimore Orioles,Gunnar Henderson,23,SS,159
2024,Baltimore Orioles,Ramon Urias,30,3B,100
2024,Baltimore Orioles,Colton Cowser,24,LF,153
2024,Baltimore Orioles,Cedric Mullins,29,CF,147
2024,Baltimore Orioles,Anthony Santander,29,RF,155
2024,Baltimore Orioles,Ryan O'Hearn,30,DH,142
