year,team,position,player_name,games_played
2020,Los Angeles Dodgers,C,Austin Barnes,30
2020,Los Angeles Dodgers,1B,Max Muncy,58
2020,Los Angeles Dodgers,2B,Gavin Lux,23
2020,Los Angeles Dodgers,3B,Justin Turner,42
2020,Los Angeles Dodgers,SS,Corey Seager,52
2020,Los Angeles Dodgers,LF,AJ Pollock,55
2020,Los Angeles Dodgers,CF,Cody Bellinger,56
2020,Los Angeles Dodgers,RF,Mookie Betts,55
2020,Los Angeles Dodgers,DH,Edwin Rios,15
2021,Atlanta Braves,C,Travis d'Arnaud,82
2021,Atlanta Braves,1B,Freddie Freeman,159
2021,Atlanta Braves,2B,Ozzie Albies,156
2021,Atlanta Braves,3B,Austin Riley,160
2021,Atlanta Braves,SS,Dansby Swanson,160
2021,Atlanta Braves,LF,Eddie Rosario,109
2021,Atlanta Braves,CF,Ronald Acuna Jr,82
2021,Atlanta Braves,RF,Jorge Soler,137
2022,Houston Astros,C,Martin Maldonado,130
2022,Houston Astros,1B,Yuli Gurriel,144
2022,Houston Astros,2B,Jose Altuve,137
2022,Houston Astros,3B,Alex Bregman,155
2022,Houston Astros,SS,Jeremy Pena,150
2022,Houston Astros,LF,Kyle Tucker,140
2022,Houston Astros,CF,Chas McCormick,144
2022,Houston Astros,RF,George Springer,78
2022,Houston Astros,DH,Yordan Alvarez,135
2023,Texas Rangers,C,Jonah Heim,130
2023,Texas Rangers,1B,Nathaniel Lowe,157
2023,Texas Rangers,2B,Marcus Semien,162
2023,Texas Rangers,3B,Josh Jung,139
2023,Texas Rangers,SS,Corey Seager,119
2023,Texas Rangers,LF,Robbie Grossman,148
2023,Texas Rangers,CF,Leody Taveras,144
2023,Texas Rangers,RF,Adolis Garcia,154
2023,Texas Rangers,DH,Mitch Garver,87
2019,Washington Nationals,C,Kurt Suzuki,85
2019,Washington Nationals,1B,Ryan Zimmerman,52
2019,Washington Nationals,2B,Brian Dozier,135
2019,Washington Nationals,3B,Anthony Rendon,146
2019,Washington Nationals,SS,Trea Turner,122
2019,Washington Nationals,LF,Juan Soto,150
2019,Washington Nationals,CF,Victor Robles,155
2019,Washington Nationals,RF,Adam Eaton,151
2018,Boston Red Sox,C,Christian Vazquez,99
2018,Boston Red Sox,1B,Mitch Moreland,149
2018,Boston Red Sox,2B,Dustin Pedroia,105
2018,Boston Red Sox,3B,Rafael Devers,121
2018,Boston Red Sox,SS,Xander Bogaerts,136
2018,Boston Red Sox,LF,Andrew Benintendi,148
2018,Boston Red Sox,CF,Jackie Bradley Jr,144
2018,Boston Red Sox,RF,Mookie Betts,136
2018,Boston Red Sox,DH,JD Martinez,150
2017,Houston Astros,C,Brian McCann,97
2017,Houston Astros,1B,Yuli Gurriel,136
2017,Houston Astros,2B,Jose Altuve,153
2017,Houston Astros,3B,Alex Bregman,155
